timestamp,symbol,bid,ask
2026-05-12T11:45:00+00:00,EURUSD,1.1743800000,1.1743800000
2026-05-12T12:00:00+00:00,EURUSD,1.1741800000,1.1741900000
2026-05-12T12:15:00+00:00,EURUSD,1.1739800000,1.1741300000
2026-05-12T12:30:00+00:00,EURUSD,1.1747200000,1.1747300000
2026-05-12T12:45:00+00:00,EURUSD,1.1747700000,1.1747800000
2026-05-12T13:00:00+00:00,EURUSD,1.1740600000,1.1740600000
2026-05-12T13:15:00+00:00,EURUSD,1.1739600000,1.1739700000
2026-05-12T13:30:00+00:00,EURUSD,1.1737100000,1.1737200000
2026-05-12T13:45:00+00:00,EURUSD,1.1730000000,1.1730000000
2026-05-12T14:00:00+00:00,EURUSD,1.1735100000,1.1735200000
2026-05-12T14:15:00+00:00,EURUSD,1.1733200000,1.1733300000
2026-05-12T14:30:00+00:00,EURUSD,1.1732900000,1.1732900000
2026-05-12T14:45:00+00:00,EURUSD,1.1736000000,1.1736100000
2026-05-12T15:00:00+00:00,EURUSD,1.1728000000,1.1728000000
2026-05-12T15:15:00+00:00,EURUSD,1.1724100000,1.1724200000
2026-05-12T15:30:00+00:00,EURUSD,1.1731600000,1.1731600000
2026-05-12T15:45:00+00:00,EURUSD,1.1732600000,1.1732600000
2026-05-12T16:00:00+00:00,EURUSD,1.1737100000,1.1737100000
2026-05-12T16:15:00+00:00,EURUSD,1.1736100000,1.1736100000
2026-05-12T16:30:00+00:00,EURUSD,1.1732000000,1.1732000000
2026-05-12T16:45:00+00:00,EURUSD,1.1728300000,1.1728500000
2026-05-12T17:00:00+00:00,EURUSD,1.1730700000,1.1730900000
2026-05-12T17:15:00+00:00,EURUSD,1.1730500000,1.1730600000
2026-05-12T17:30:00+00:00,EURUSD,1.1731800000,1.1731900000
2026-05-12T17:45:00+00:00,EURUSD,1.1733200000,1.1733400000
2026-05-12T18:00:00+00:00,EURUSD,1.1732100000,1.1732100000
2026-05-12T18:15:00+00:00,EURUSD,1.1735900000,1.1736000000
2026-05-12T18:30:00+00:00,EURUSD,1.1738700000,1.1738700000
2026-05-12T18:45:00+00:00,EURUSD,1.1740500000,1.1740600000
2026-05-12T19:00:00+00:00,EURUSD,1.1743900000,1.1743900000
2026-05-12T19:15:00+00:00,EURUSD,1.1742300000,1.1742400000
2026-05-12T19:30:00+00:00,EURUSD,1.1743000000,1.1743100000
2026-05-12T19:45:00+00:00,EURUSD,1.1740200000,1.1740200000
2026-05-12T20:00:00+00:00,EURUSD,1.1738900000,1.1739200000
2026-05-12T20:15:00+00:00,EURUSD,1.1738800000,1.1739000000
2026-05-12T20:30:00+00:00,EURUSD,1.1738100000,1.1738300000
2026-05-12T20:45:00+00:00,EURUSD,1.1737100000,1.1739600000
2026-05-12T21:00:00+00:00,EURUSD,1.1735100000,1.1737800000
2026-05-12T21:15:00+00:00,EURUSD,1.1735900000,1.1737700000
2026-05-12T21:30:00+00:00,EURUSD,1.1737000000,1.1739000000
2026-05-12T21:45:00+00:00,EURUSD,1.1737200000,1.1740500000
2026-05-12T22:00:00+00:00,EURUSD,1.1737700000,1.1737800000
2026-05-12T22:15:00+00:00,EURUSD,1.1739000000,1.1739100000
2026-05-12T22:30:00+00:00,EURUSD,1.1739100000,1.1739100000
2026-05-12T22:45:00+00:00,EURUSD,1.1739400000,1.1739500000
2026-05-12T23:00:00+00:00,EURUSD,1.1738800000,1.1738900000
2026-05-12T23:15:00+00:00,EURUSD,1.1738500000,1.1738800000
2026-05-12T23:30:00+00:00,EURUSD,1.1737000000,1.1737100000
2026-05-12T23:45:00+00:00,EURUSD,1.1735100000,1.1735200000
